price,bedrooms,bathrooms,sqft_living,floors,condition,grade
221900.0,0.03287076288936993,-0.13333333333333333,-0.056093775932386444,-0.4,Average,7 Average
538000.0,0.03287076288936993,0.08291472432435434,-0.05597346813324741,-0.12274112777602189,Average,7 Average
180000.0,-0.10228427314668491,-0.13333333333333333,-0.05615975417081179,-0.4,Average,6 Low Average
604000.0,0.12876478703996352,0.15962994364482927,-0.056015347797183215,-0.4,Very Good,7 Average
510000.0,0.03287076288936993,0.05150591481598541,-0.056039173250015874,-0.4,Average,8 Good
257500.0,0.03287076288936993,0.08291472432435434,-0.05603598634318392,-0.12274112777602189,Average,7 Average
291850.0,0.03287076288936993,-0.025209304504489497,-0.05611035174851529,-0.4,Average,7 Average
229500.0,0.03287076288936993,-0.13333333333333333,-0.0560302366857363,-0.4,Average,7 Average
323000.0,0.03287076288936993,0.11101086183310803,-0.05602096876227918,-0.12274112777602189,Average,7 Average
662500.0,0.03287076288936993,0.11101086183310803,-0.05592310420033291,-0.4,Average,8 Good
468000.0,-0.10228427314668491,-0.13333333333333333,-0.05609641803955172,-0.4,Good,7 Average
310000.0,0.03287076288936993,-0.13333333333333333,-0.056064075776931385,-0.23781395675673425,Good,7 Average
400000.0,0.03287076288936993,0.015897543449446043,-0.056070700769888376,-0.4,Good,7 Average
650000.0,0.12876478703996352,0.15962994364482927,-0.05595215449005659,-0.12274112777602189,Average,9 Better
395000.0,0.03287076288936993,0.05150591481598541,-0.05602096876227918,-0.12274112777602189,Average,7 Average
485000.0,0.12876478703996352,-0.13333333333333333,-0.056046714233658756,-0.23781395675673425,Good,7 Average
189000.0,-0.10228427314668491,-0.13333333333333333,-0.05609117823249211,-0.4,Good,7 Average
230000.0,0.03287076288936993,-0.13333333333333333,-0.056084868805209215,-0.4,Good,7 Average
385000.0,0.12876478703996352,0.015897543449446043,-0.05604479421511184,-0.4,Good,7 Average
252700.0,-0.10228427314668491,-0.025209304504489497,-0.05610890047489089,-0.4,Average,7 Average
329000.0,0.03287076288936993,0.08291472432435434,-0.05598085884025676,-0.12274112777602189,Good,8 Good
233000.0,0.03287076288936993,0.05150591481598541,-0.05603643761213343,-0.23781395675673425,Very Good,6 Low Average
937000.0,0.03287076288936993,0.015897543449446043,-0.05598085884025676,-0.12274112777602189,Average,8 Good
667000.0,0.03287076288936993,-0.13333333333333333,-0.05606735277965945,-0.23781395675673425,Very Good,8 Good
438000.0,0.03287076288936993,0.015897543449446043,-0.05605464209987012,-0.4,Average,7 Average
719000.0,0.12876478703996352,0.11101086183310803,-0.05597346813324741,-0.12274112777602189,Average,8 Good
580500.0,0.03287076288936993,0.11101086183310803,-0.055989285554148324,-0.12274112777602189,Average,8 Good
280000.0,-0.10228427314668491,-0.025209304504489497,-0.056092471625022323,0.039444915467243914,Average,7 Average
687500.0,0.12876478703996352,0.015897543449446043,-0.05598862078105722,-0.23781395675673425,Good,7 Average
535000.0,0.03287076288936993,-0.13333333333333333,-0.05610603818002733,-0.23781395675673425,Good,8 Good
322500.0,0.12876478703996352,0.13642690978092797,-0.056007656682877334,-0.4,Average,7 Average
